RecordID,AllNaN_Col,SingleVal_Num,SingleVal_Cat,EmptyStr_Cat,MixedType_NumStr,Skewed_Num,Bool_Col,ProductID_IntLikeCat,Regular_Num_1,Regular_Cat_1
ID_100,,50.0,Category_X,Beta,66.3,5.24,True,10006,2.6671877176218106,P
ID_101,,50.0,Category_X,,error_val,263.54,True,10011,33.46843602700098,R
ID_102,,50.0,Category_X,,93.5,305.22,True,10007,22.574914379707934,R
ID_103,,50.0,Category_X,,not_a_number,36.81,False,10005,18.05344641248411,Q
ID_104,,50.0,Category_X,Alpha,94.8,15.93,True,10005,42.12582182864547,Q
ID_105,,50.0,Category_X,,88.9,18.16,False,10015,36.11631783197695,Q
ID_106,,50.0,Category_X,Alpha,93.6,1.61,True,10015,82.26698031844131,R
ID_107,,50.0,Category_X,Alpha,65.0,3.74,False,10012,75.88211227327314,P
ID_108,,50.0,Category_X,Beta,102.3,1.22,False,10010,97.57510150549929,R
ID_109,,50.0,Category_X,Alpha,90.8,16.01,False,10008,4.663861996917906,P
